"COUNTRY","EBOLA_MEASURE","CASE_DEFINITION","INDICATOR_TYPE","DATAPACKAGEID","EPI_DATE","Display Value","Numeric","Low","High","Comments"
"LBR","CASES","CONFIRMED","SITREP_CUMULATIVE","2014-12-05","2014-12-02","2824","2824.00000","","",""
"LBR","CASES","PROBABLE","SITREP_CUMULATIVE","2014-12-05","2014-12-02","1809","1809.00000","","",""
"LBR","CASES","SUSPECTED","SITREP_CUMULATIVE","2014-12-05","2014-12-02","3057","3057.00000","","",""
"SLE","CASES","CONFIRMED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","6201","6201.00000","","",""
"SLE","CASES","PROBABLE","SITREP_CUMULATIVE","2014-12-05","2014-12-03","79","79.00000","","",""
"SLE","CASES","SUSPECTED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","1355","1355.00000","","",""
"GIN","CASES","CONFIRMED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","1956","1956.00000","","",""
"GIN","CASES","PROBABLE","SITREP_CUMULATIVE","2014-12-05","2014-12-03","215","215.00000","","",""
"GIN","CASES","SUSPECTED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","21","21.00000","","",""
"LBR","DEATHS","CONFIRMED","SITREP_CUMULATIVE","2014-12-05","2014-12-02","Not available","","","","Not available"
"LBR","DEATHS","PROBABLE","SITREP_CUMULATIVE","2014-12-05","2014-12-02","Not available","","","","Not available"
"LBR","DEATHS","SUSPECTED","SITREP_CUMULATIVE","2014-12-05","2014-12-02","Not available","","","","Not available"
"SLE","DEATHS","CONFIRMED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","1451","1451.00000","","",""
"SLE","DEATHS","PROBABLE","SITREP_CUMULATIVE","2014-12-05","2014-12-03","174","174.00000","","",""
"SLE","DEATHS","SUSPECTED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","35","35.00000","","",""
"GIN","DEATHS","CONFIRMED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","1151","1151.00000","","",""
"GIN","DEATHS","PROBABLE","SITREP_CUMULATIVE","2014-12-05","2014-12-03","215","215.00000","","",""
"GIN","DEATHS","SUSPECTED","SITREP_CUMULATIVE","2014-12-05","2014-12-03","0","0.00000","","",""
"LBR","DEATHS","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","2014-12-02","3161","3161.00000","","",""
"SLE","DEATHS","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","2014-12-03","1660","1660.00000","","",""
"GIN","DEATHS","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","2014-12-03","1366","1366.00000","","",""
"LBR","CASES","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","2014-12-02","7690","7690.00000","","",""
"SLE","CASES","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","2014-12-03","7635","7635.00000","","",""
"GIN","CASES","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","2014-12-03","2192","2192.00000","","",""
"UNSPECIFIED","CASES","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","","17 517","17517.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
"UNSPECIFIED","DEATHS","CONF_PROD_SUSP","SITREP_CUMULATIVE","2014-12-05","","6187","6187.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
