"Country","Ebola measure","Case definition","Indicator type","Data package ID","Data as of","Display Value","Numeric","Low","High","Comments"
"Liberia","Number of cases","Confirmed","Cumulative","Data package 2014-12-05","2 December 2014","2824","2824.00000","","",""
"Liberia","Number of cases","Probable","Cumulative","Data package 2014-12-05","2 December 2014","1809","1809.00000","","",""
"Liberia","Number of cases","Suspected","Cumulative","Data package 2014-12-05","2 December 2014","3057","3057.00000","","",""
"Sierra Leone","Number of cases","Confirmed","Cumulative","Data package 2014-12-05","3 December 2014","6201","6201.00000","","",""
"Sierra Leone","Number of cases","Probable","Cumulative","Data package 2014-12-05","3 December 2014","79","79.00000","","",""
"Sierra Leone","Number of cases","Suspected","Cumulative","Data package 2014-12-05","3 December 2014","1355","1355.00000","","",""
"Guinea","Number of cases","Confirmed","Cumulative","Data package 2014-12-05","3 December 2014","1956","1956.00000","","",""
"Guinea","Number of cases","Probable","Cumulative","Data package 2014-12-05","3 December 2014","215","215.00000","","",""
"Guinea","Number of cases","Suspected","Cumulative","Data package 2014-12-05","3 December 2014","21","21.00000","","",""
"Liberia","Number of deaths","Confirmed","Cumulative","Data package 2014-12-05","2 December 2014","Not available","","","","Not available"
"Liberia","Number of deaths","Probable","Cumulative","Data package 2014-12-05","2 December 2014","Not available","","","","Not available"
"Liberia","Number of deaths","Suspected","Cumulative","Data package 2014-12-05","2 December 2014","Not available","","","","Not available"
"Sierra Leone","Number of deaths","Confirmed","Cumulative","Data package 2014-12-05","3 December 2014","1451","1451.00000","","",""
"Sierra Leone","Number of deaths","Probable","Cumulative","Data package 2014-12-05","3 December 2014","174","174.00000","","",""
"Sierra Leone","Number of deaths","Suspected","Cumulative","Data package 2014-12-05","3 December 2014","35","35.00000","","",""
"Guinea","Number of deaths","Confirmed","Cumulative","Data package 2014-12-05","3 December 2014","1151","1151.00000","","",""
"Guinea","Number of deaths","Probable","Cumulative","Data package 2014-12-05","3 December 2014","215","215.00000","","",""
"Guinea","Number of deaths","Suspected","Cumulative","Data package 2014-12-05","3 December 2014","0","0.00000","","",""
"Liberia","Number of deaths","Total","Cumulative","Data package 2014-12-05","2 December 2014","3161","3161.00000","","",""
"Sierra Leone","Number of deaths","Total","Cumulative","Data package 2014-12-05","3 December 2014","1660","1660.00000","","",""
"Guinea","Number of deaths","Total","Cumulative","Data package 2014-12-05","3 December 2014","1366","1366.00000","","",""
"Liberia","Number of cases","Total","Cumulative","Data package 2014-12-05","2 December 2014","7690","7690.00000","","",""
"Sierra Leone","Number of cases","Total","Cumulative","Data package 2014-12-05","3 December 2014","7635","7635.00000","","",""
"Guinea","Number of cases","Total","Cumulative","Data package 2014-12-05","3 December 2014","2192","2192.00000","","",""
"All countries","Number of cases","Total","Cumulative","Data package 2014-12-05","","17 517","17517.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
"All countries","Number of deaths","Total","Cumulative","Data package 2014-12-05","","6187","6187.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
